year,variant,model_label,nugget_mode,k_bin,k_mid,data_spectrum,theory_spectrum_expected,n_slices,data_k_max,ratio_I_over_EI
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,0,0.5729014104765542,23319.706360568252,15963.117055240162,24,79.63329605624102,1.4608491737466254
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,1,1.7187042314296626,2718.0161088927425,3517.009547683576,24,79.63329605624102,0.7728202246942781
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,2,2.864507052382771,815.726901980172,1244.031084987367,24,79.63329605624102,0.6557126359816448
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,3,4.0103098733358795,428.3256567696696,582.0025822076935,24,79.63329605624102,0.7359514714606837
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,4,5.156112694288987,271.50600371493994,349.16314479662145,24,79.63329605624102,0.777590670037885
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,5,6.301915515242096,196.8510012361369,220.34538551785724,24,79.63329605624102,0.8933747388151394
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,6,7.447718336195205,131.3745772715761,153.08224457597,24,79.63329605624102,0.8581960477224316
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,7,8.593521157148313,95.10101725484508,108.77213465048284,24,79.63329605624102,0.8743141573936457
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,8,9.739323978101421,72.31499503694226,81.26889656861609,24,79.63329605624102,0.8898237590304433
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,9,10.885126799054527,60.72823103891516,64.44639846065613,24,79.63329605624102,0.9423060479630857
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,10,12.030929620007635,46.859478717091996,50.65885693367054,24,79.63329605624102,0.9250007116908854
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,11,13.176732440960746,38.182591422212724,40.26980267136317,24,79.63329605624102,0.9481693201681687
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,12,14.322535261913854,34.98919371807435,35.4905281329849,24,79.63329605624102,0.9858741348386808
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,13,15.468338082866964,31.70568623913022,29.460053730833426,24,79.63329605624102,1.0762263548062192
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,14,16.614140903820072,25.919683423129815,25.008022105590197,24,79.63329605624102,1.0364547549458472
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,15,17.75994372477318,22.32372739606736,21.519435357483264,24,79.63329605624102,1.0373751460121097
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,16,18.905746545726288,20.17118880408363,18.826525904860578,24,79.63329605624102,1.071423846652233
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,17,20.051549366679396,16.60655546310417,16.375109468744196,24,79.63329605624102,1.014134012038316
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,18,21.197352187632504,15.36288240148186,14.57243629905537,24,79.63329605624102,1.0542425498526784
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,19,22.34315500858561,14.628891346200026,12.933915198313592,24,79.63329605624102,1.1310489609602077
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,20,23.48895782953872,12.854492859455155,11.725833775794905,24,79.63329605624102,1.0962540579408595
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,21,24.63476065049183,11.847490210232452,10.683079899122367,24,79.63329605624102,1.1089957504863128
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,22,25.78056347144494,10.166412388998994,9.627614002154184,24,79.63329605624102,1.0559638542555043
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,23,26.926366292398047,8.976229935652658,8.662381737567449,24,79.63329605624102,1.0362311668538107
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,24,28.072169113351155,9.32577873804397,8.290818997784326,24,79.63329605624102,1.1248320269126888
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,25,29.217971934304263,8.181349154757728,7.6661886824414,24,79.63329605624102,1.0671990337905781
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,26,30.36377475525737,8.36891452454514,7.138102626076674,24,79.63329605624102,1.172428439733005
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,27,31.50957757621048,7.032506329714281,6.690420348639606,24,79.63329605624102,1.0511307157470657
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,28,32.65538039716359,6.795771240190945,6.274253665831732,24,79.63329605624102,1.083120256549283
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,29,33.8011832181167,6.267165128975141,5.921347291058038,24,79.63329605624102,1.058401884050836
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,30,34.946986039069806,5.986238919853118,5.600345385215278,24,79.63329605624102,1.068905309957594
