date_group,year,month,calendar_day,slice_in_day,time_position,time_key,resolution_stride,resolution_label,variant,model_family,model_label,nugget_mode,smooth,gc_alpha,gc_beta,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,est_phi1,est_phi2,est_phi3,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
202407_days_2_4_24,2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.3278,0,1,0.1732,1.2187,1.3919,18126,18069,0.9969,14.4977,0.3563,0.2663,0.3563,0.0000,,,,,,1160,4,4,2,16,1160,18069,7,32,32.0000,10.0000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,1,9,2024_07_y24m07day02_hm01:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.4370,0,1,0.0663,1.3058,1.3721,18126,17271,0.9528,18.0671,0.3897,0.2755,0.3897,0.0000,,,,,,1160,4,4,2,16,1148,17271,16,32,32.0000,8.5000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,2,10,2024_07_y24m07day02_hm02:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.5614,0,1,0.0662,1.3276,1.3937,18126,16953,0.9353,22.2643,0.4229,0.2833,0.4229,0.0000,,,,,,1160,4,4,2,16,1137,16953,16,32,32.0000,8.5000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,3,11,2024_07_y24m07day02_hm03:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.4600,7,8,0.0817,1.8221,1.9037,18126,16899,0.9323,22.5262,0.4737,0.3620,0.4737,0.0000,,,,,,1160,4,4,2,16,1137,16899,15,32,32.0000,9.0000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,4,12,2024_07_y24m07day02_hm04:48,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.4950,0,1,0.0742,1.4129,1.4871,18126,17007,0.9383,23.5844,0.4659,0.3998,0.4659,0.0000,,,,,,1160,4,4,2,16,1152,17007,16,32,32.0000,8.5000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,5,13,2024_07_y24m07day02_hm05:48,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.4860,0,1,0.0588,1.3590,1.4178,18126,17785,0.9812,21.8410,0.4358,0.3477,0.4358,0.0000,,,,,,1160,4,4,2,16,1158,17785,14,32,32.0000,9.5000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,6,14,2024_07_y24m07day02_hm06:48,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.3291,0,1,0.0627,1.2512,1.3139,18126,18104,0.9988,20.5707,0.5318,0.5431,0.5318,0.0000,,,,,,1160,4,4,2,16,1160,18104,7,32,32.0000,11.0000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,2,7,15,2024_07_y24m07day02_hm07:48,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.4336,0,1,0.0630,1.2137,1.2767,18126,18103,0.9987,18.6615,0.3493,0.3177,0.3493,0.0000,,,,,,1160,4,4,2,16,1160,18103,5,32,32.0000,12.0000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,4,0,24,2024_07_y24m07day04_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.2701,0,1,0.0592,1.3168,1.3760,18126,18063,0.9965,15.5061,0.5124,0.3640,0.5124,0.0000,,,,,,1160,4,4,2,16,1160,18063,7,32,32.0000,11.0000,16,128,4x4,2,32
202407_days_2_4_24,2024,7,4,1,25,2024_07_y24m07day04_hm01:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3000,,,lat,full_x1,ClusterSpaceAnisoMaternS03NoNugget_4x4_B2_exactloc,cluster_space_aniso_matern_s03_nugget0_4x4_b2_exactloc,x1 full grid; 4x4 cluster max-min ordering on cluster centroids; condition on nearest 2 previous cluster blocks; anisotropic covariance on Source_Latitude/Source_Longitude,1.2676,7,8,0.0607,1.8700,1.9307,18126,17609,0.9715,17.4246,0.6390,0.4221,0.6390,0.0000,,,,,,1160,4,4,2,16,1154,17609,15,32,32.0000,9.0000,16,128,4x4,2,32
