year,month,calendar_day,slice_in_day,time_position,time_key,resolution_stride,resolution_label,variant,model_family,model_label,nugget_mode,smooth,gc_alpha,gc_beta,n_valid_spectrum,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,0,0.5729014104765542,0.627252201974578,2,79.63329605624102,28422.35563302768,2481.5486243133255
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,1,1.7187042314296626,1.695268273838533,18,79.63329605624102,1739.7691340997153,1639.8975906972964
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,2,2.8645070523827707,2.888368177098319,26,79.63329605624102,774.7754390676263,1006.747611860871
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,3,4.0103098733358795,4.101153866844383,42,79.63329605624102,448.0955315871508,581.9579447945986
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,4,5.156112694288987,5.243474246005946,42,79.63329605624102,203.14323132343236,371.220308387212
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,5,6.301915515242095,6.334396296799058,60,79.63329605624102,170.46379495048197,242.36687668433748
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,6,7.447718336195205,7.484202811445298,66,79.63329605624102,95.96793783037631,166.99364532713744
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,7,8.593521157148313,8.64988424118374,86,79.63329605624102,91.81619196870335,118.93212901129651
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,8,9.739323978101421,9.828990003837582,86,79.63329605624102,63.53297842162894,87.69031659279293
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,9,10.885126799054529,10.932120873774602,98,79.63329605624102,54.74959909214686,68.8760665072913
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,10,12.030929620007637,12.063865932841784,110,79.63329605624102,43.321485407211995,53.78538660384891
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,11,13.176732440960746,13.166390002837563,114,79.63329605624102,30.2896626719181,42.83408887891805
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,12,14.322535261913854,14.273893849907077,130,79.63329605624102,29.02768298473258,36.709932764719156
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,13,15.468338082866964,15.425211497575258,142,79.63329605624102,33.45803547367956,30.204928834985406
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,14,16.614140903820072,16.59460817503016,158,79.63329605624102,20.918184797810234,25.44697817082452
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,15,17.75994372477318,17.777808040803787,166,79.63329605624102,16.73637903293233,21.738033604179275
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,16,18.905746545726288,18.924882639210317,170,79.63329605624102,13.73303701793692,18.90853874959746
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,17,20.051549366679396,20.055622399506323,184,79.63329605624102,15.184222202471878,16.366260882423525
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,18,21.197352187632504,21.21689630794462,198,79.63329605624102,11.449344080902842,14.448995769737877
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,19,22.34315500858561,22.365098345328214,202,79.63329605624102,12.88933236010914,12.772122695301524
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,20,23.48895782953872,23.50197308177751,214,79.63329605624102,10.502365014098237,11.54223694373385
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,21,24.63476065049183,24.62149265069659,218,79.63329605624102,11.450913277375752,10.484898071453356
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,22,25.78056347144494,25.753220292042254,238,79.63329605624102,9.570530776184963,9.435293362817125
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,23,26.926366292398047,26.888973344881837,242,79.63329605624102,8.277203036413269,8.537179766750935
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,24,28.072169113351155,28.044035971152297,266,79.63329605624102,8.56320525371396,8.080694707319102
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,25,29.217971934304263,29.226126552847166,274,79.63329605624102,7.225492569164207,7.451693987578206
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,26,30.36377475525737,30.35905022076347,266,79.63329605624102,8.523779033642942,6.918519019292896
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,27,31.509577576210482,31.508974851516133,302,79.63329605624102,6.069892153828812,6.488964860399415
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,28,32.65538039716359,32.66670839705195,292,79.63329605624102,6.3537772742842415,6.08606939917809
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,29,33.8011832181167,33.80557707630151,314,79.63329605624102,6.67454141299805,5.729177024402154
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,30,34.946986039069806,34.978238907489704,330,79.63329605624102,5.886701978649629,5.419196742974687
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,31,36.092788860022914,36.13158704314454,326,79.63329605624102,6.627681691724586,5.160058261576197
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,32,37.23859168097602,37.27131507371626,342,79.63329605624102,6.184927804432233,4.902686423822941
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,33,38.38439450192913,38.408323214044735,346,79.63329605624102,4.943573736190878,4.70710770145446
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,34,39.53019732288224,39.516826790211844,348,79.63329605624102,5.742946353214632,4.489853644507844
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,35,40.676000143835346,40.64537353336212,376,79.63329605624102,4.104270508638769,4.357341891788742
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,36,41.82180296478845,41.8074915501277,390,79.63329605624102,4.339559323452327,4.225348296549884
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,37,42.96760578574156,42.97758132048538,402,79.63329605624102,4.560516684654126,4.082378016791063
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,38,44.11340860669467,44.12023387815045,394,79.63329605624102,4.490909306888858,3.975361267666838
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,39,45.25921142764778,45.263273002223634,422,79.63329605624102,4.353289355540513,3.857600983510577
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,40,46.40501424860089,46.401623114899365,412,79.63329605624102,3.7327127712316686,3.768242342348738
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,41,47.550817069554,47.54209628556936,446,79.63329605624102,4.06222011247174,3.67948490663171
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,42,48.69661989050711,48.704018109813944,446,79.63329605624102,4.882169244618046,3.606871985965564
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,43,49.842422711460216,49.82798037973217,436,79.63329605624102,3.50168310140413,3.5318239973836785
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,44,50.988225532413324,50.984981939444005,418,79.63329605624102,3.009718000560767,3.4650228847681435
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,45,52.13402835336643,52.13691557001522,378,79.63329605624102,3.328890543614749,3.4094533827273152
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,46,53.27983117431954,53.23891056784509,360,79.63329605624102,2.9681147954940204,3.3181739558857757
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,47,54.42563399527265,54.389296288586614,386,79.63329605624102,3.174958605373214,3.3125836002913913
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,48,55.571436816225756,55.55451364670018,358,79.63329605624102,3.900456245283999,3.2804846145591986
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,49,56.717239637178864,56.703802024095104,358,79.63329605624102,3.5206877573367046,3.224053931674151
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,50,57.86304245813197,57.8464178745161,346,79.63329605624102,3.180802927455821,3.1911083961570403
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,51,59.00884527908508,59.01680172468367,366,79.63329605624102,3.742255398826243,3.1425500888822517
2024,7,2,0,8,2024_07_y24m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,18069,14.497719937928244,0.35632371368015503,0.2663211839051475,0.35632371368015503,0.0,,,52,60.15464810003819,60.18481906490257,334,79.63329605624102,3.2540385558083083,3.119711325126203
