year,month,calendar_day,slice_in_day,time_position,time_key,resolution_stride,resolution_label,variant,model_family,model_label,nugget_mode,smooth,gc_alpha,gc_beta,n_valid_spectrum,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,0,0.5729014104765542,0.627252201974578,2,79.63329605624102,3318.4143417463815,1381.6692344227768
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,1,1.7187042314296626,1.695268273838533,18,79.63329605624102,2663.0313497690536,979.1031790001792
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,2,2.8645070523827707,2.888368177098319,26,79.63329605624102,799.3669159673044,640.708156318106
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,3,4.0103098733358795,4.101153866844383,42,79.63329605624102,257.0766174704278,391.18710068684595
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,4,5.156112694288987,5.243474246005946,42,79.63329605624102,201.314672092859,253.07709115846507
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,5,6.301915515242095,6.334396296799058,60,79.63329605624102,101.8250715787901,172.58268933029606
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,6,7.447718336195205,7.484202811445298,66,79.63329605624102,75.05474975171762,121.04443219948722
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,7,8.593521157148313,8.64988424118374,86,79.63329605624102,53.57246165553926,87.81087892914489
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,8,9.739323978101421,9.828990003837582,86,79.63329605624102,38.579720217182825,65.61608203746691
2022,7,2,0,8,2022_07_y22m07day02_hm00:53,1,x1,matern_s03_nugget0,matern,Matern s=0.3 nugget0,nugget0,0.3,,,17132,10.316518755740848,0.2839898811775795,0.26332614157267037,0.2839898811775795,0.0,,,9,10.885126799054529,10.932120873774602,98,79.63329605624102,33.690806481993604,51.61484066726398
