tile_y,tile_x,n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,file
0,0,4290,1.574155,1.412631,0.651142,0.58249,241.337616,243.139652,18.927455,57.217299,2022,20220701_0045.nc
0,1,4187,1.062629,1.069164,0.440754,0.443959,239.694412,241.445005,15.984461,55.362099,2022,20220701_0045.nc
0,2,4368,0.941131,0.926789,0.388723,0.381922,242.750549,242.899887,13.130133,53.602665,2022,20220701_0045.nc
0,3,4551,1.36206,1.326972,0.564351,0.551308,240.913376,241.041267,10.260875,51.825672,2022,20220701_0045.nc
0,4,4581,1.276681,1.243106,0.530492,0.518067,239.753647,240.078759,7.414369,50.062935,2022,20220701_0045.nc
0,5,4596,1.177739,1.098369,0.491319,0.458579,239.407036,239.672823,4.714256,48.327868,2022,20220701_0045.nc
0,6,4597,1.154892,1.095668,0.482453,0.457876,239.210022,239.39647,2.601193,46.625309,2022,20220701_0045.nc
0,7,4625,1.13556,1.059382,0.473478,0.440515,240.231171,240.634633,2.930907,44.943153,2022,20220701_0045.nc
1,0,4297,1.068653,1.072582,0.429481,0.433475,248.593491,248.918095,18.871468,56.04554,2022,20220701_0045.nc
1,1,4355,1.177079,1.139276,0.477014,0.459546,249.936569,248.457196,15.964767,54.209225,2022,20220701_0045.nc
1,2,4341,0.775545,0.836184,0.312388,0.33769,248.625092,247.991844,12.957117,52.325867,2022,20220701_0045.nc
1,3,4373,1.034323,1.022213,0.419392,0.414507,246.601929,246.687879,10.046402,50.517612,2022,20220701_0045.nc
1,4,4573,1.217517,1.203256,0.497948,0.49174,244.636719,244.804939,7.191025,48.76041,2022,20220701_0045.nc
1,5,4625,1.155015,1.113722,0.473814,0.456896,243.573212,243.865235,4.325587,46.991241,2022,20220701_0045.nc
1,6,4659,1.158535,1.095054,0.475541,0.449339,243.599228,243.846768,1.810086,45.226017,2022,20220701_0045.nc
1,7,4613,1.074283,1.033912,0.440672,0.423114,243.977448,244.336539,2.214255,43.491463,2022,20220701_0045.nc
2,0,4256,0.665418,0.718394,0.258926,0.280735,257.173859,256.326807,19.18797,54.904469,2022,20220701_0045.nc
2,1,4358,1.04173,1.106573,0.405021,0.432048,256.698792,256.490556,16.362093,53.03113,2022,20220701_0045.nc
2,2,4453,1.248608,1.258244,0.489409,0.492437,255.65332,255.442525,13.513801,51.17347,2022,20220701_0045.nc
2,3,4157,0.972801,1.105536,0.387404,0.439774,251.366348,251.383733,10.750978,49.307873,2022,20220701_0045.nc
2,4,4597,1.108626,1.059435,0.44606,0.425486,248.99379,249.107478,8.106427,47.519424,2022,20220701_0045.nc
2,5,4412,1.104596,1.096349,0.445186,0.439577,248.771858,249.243637,5.7705,45.731527,2022,20220701_0045.nc
2,6,4479,1.034863,1.108389,0.418237,0.443408,248.2957,249.488439,4.065505,43.934116,2022,20220701_0045.nc
2,7,4565,1.113798,1.08039,0.450908,0.435976,247.269882,247.807002,4.28822,42.155178,2022,20220701_0045.nc
3,0,4094,0.855261,0.92694,0.331651,0.359458,257.984222,257.919509,19.910758,53.840034,2022,20220701_0045.nc
3,1,4169,1.280064,1.281567,0.49696,0.497165,257.729248,257.706041,17.261627,51.966755,2022,20220701_0045.nc
3,2,4245,1.019305,1.08157,0.398851,0.421373,256.874847,256.824861,14.575918,50.056549,2022,20220701_0045.nc
3,3,4422,0.835313,0.878849,0.326331,0.343574,256.175293,256.20836,12.111595,48.20595,2022,20220701_0045.nc
3,4,4519,0.995669,0.974142,0.392621,0.383793,253.800537,254.055488,9.852799,46.356754,2022,20220701_0045.nc
3,5,4542,1.197916,1.170475,0.477633,0.466299,250.810638,251.114944,7.98018,44.515444,2022,20220701_0045.nc
3,6,4484,1.087644,1.067471,0.433983,0.42503,250.506905,250.98106,6.928101,42.694397,2022,20220701_0045.nc
3,7,4369,1.064331,1.137449,0.425196,0.449745,251.189392,252.297131,7.005874,40.900024,2022,20220701_0045.nc
0,0,4281,1.199965,1.135114,0.498355,0.469631,240.895615,241.999499,18.924898,44.555405,2022,20220701_0145.nc
0,1,4111,0.825695,0.857116,0.342069,0.355636,240.113953,241.662499,15.979415,42.843849,2022,20220701_0145.nc
0,2,4417,0.796269,0.829314,0.329609,0.342084,242.275314,242.543827,13.143988,41.268661,2022,20220701_0145.nc
