year,month,day_num,direction,lag,model,fitted_gamma_t0,sigma,range_lat,range_lon,range_time,nugget
2022,7,1,lat,0.0000,Corridor_4x4_lag643,0.0000,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.0440,Corridor_4x4_lag643,3.4354,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.1320,Corridor_4x4_lag643,4.8728,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.1760,Corridor_4x4_lag643,5.2795,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.3960,Corridor_4x4_lag643,6.0477,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.6160,Corridor_4x4_lag643,6.1694,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.8360,Corridor_4x4_lag643,6.1887,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,1.0560,Corridor_4x4_lag643,6.1918,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,1.2760,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,1.4960,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,1.7160,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,1.9360,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,2.1560,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,0.0000,Debiased_Whittle,0.0000,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.0440,Debiased_Whittle,3.4460,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.1320,Debiased_Whittle,4.6656,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.1760,Debiased_Whittle,5.0439,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.3960,Debiased_Whittle,5.8632,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.6160,Debiased_Whittle,6.0369,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.8360,Debiased_Whittle,6.0737,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,1.0560,Debiased_Whittle,6.0815,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,1.2760,Debiased_Whittle,6.0832,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,1.4960,Debiased_Whittle,6.0835,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,1.7160,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,1.9360,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,2.1560,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,0.0000,Vecchia_mm20,0.0000,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.0440,Vecchia_mm20,3.4678,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.1320,Vecchia_mm20,4.5566,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.1760,Vecchia_mm20,4.9230,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.3960,Vecchia_mm20,5.8245,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.6160,Vecchia_mm20,6.0722,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,0.8360,Vecchia_mm20,6.1402,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,1.0560,Vecchia_mm20,6.1589,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,1.2760,Vecchia_mm20,6.1641,3.4937,0.1703,0.2118,1.6525,2.6723
