year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,n_anchor_obs,sigma,range_lat,range_lon,range_time,nugget
2022,7,1,lat,Vecchia_mm20,0.0498,0.0460,-0.0460,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lon,Vecchia_mm20,0.0674,0.0598,-0.0598,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lat,Debiased_Whittle,0.0583,0.0541,-0.0541,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lon,Debiased_Whittle,0.0645,0.0548,-0.0528,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,Corridor_4x4_lag643,0.0646,0.0583,-0.0583,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lon,Corridor_4x4_lag643,0.0814,0.0737,-0.0737,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1515,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,2,lat,Vecchia_mm20,0.0794,0.0704,-0.0533,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,2,lon,Vecchia_mm20,0.0487,0.0427,-0.0168,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,2,lat,Debiased_Whittle,0.1510,0.1373,-0.1373,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lon,Debiased_Whittle,0.1421,0.1181,-0.1142,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lat,Corridor_4x4_lag643,0.1230,0.1112,-0.1112,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,2,lon,Corridor_4x4_lag643,0.1124,0.0928,-0.0888,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1481,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,3,lat,Vecchia_mm20,0.0474,0.0427,-0.0222,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,3,lon,Vecchia_mm20,0.0944,0.0834,-0.0700,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,3,lat,Debiased_Whittle,0.1336,0.1135,-0.1047,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lon,Debiased_Whittle,0.2316,0.2215,-0.2215,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lat,Corridor_4x4_lag643,0.1074,0.0925,-0.0837,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,3,lon,Corridor_4x4_lag643,0.1906,0.1799,-0.1799,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1370,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,4,lat,Vecchia_mm20,0.0879,0.0788,-0.0708,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,4,lon,Vecchia_mm20,0.1137,0.1011,-0.0905,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,4,lat,Debiased_Whittle,0.1414,0.1325,-0.1325,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lon,Debiased_Whittle,0.1841,0.1782,-0.1782,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lat,Corridor_4x4_lag643,0.1342,0.1241,-0.1241,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,4,lon,Corridor_4x4_lag643,0.1720,0.1641,-0.1641,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1493,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,5,lat,Vecchia_mm20,0.0342,0.0312,-0.0160,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,5,lon,Vecchia_mm20,0.0742,0.0686,-0.0544,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,5,lat,Debiased_Whittle,0.1097,0.0944,-0.0944,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lon,Debiased_Whittle,0.1842,0.1700,-0.1700,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lat,Corridor_4x4_lag643,0.0737,0.0666,-0.0666,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,5,lon,Corridor_4x4_lag643,0.1469,0.1357,-0.1357,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1381,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,6,lat,Vecchia_mm20,0.0596,0.0533,-0.0202,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,6,lon,Vecchia_mm20,0.0931,0.0858,-0.0526,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,6,lat,Debiased_Whittle,0.1706,0.1560,-0.1560,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lon,Debiased_Whittle,0.2907,0.2790,-0.2790,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lat,Corridor_4x4_lag643,0.1196,0.1135,-0.1135,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,6,lon,Corridor_4x4_lag643,0.2237,0.2107,-0.2107,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1507,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,7,lat,Vecchia_mm20,0.0874,0.0762,-0.0691,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1361,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,7,lon,Vecchia_mm20,0.0620,0.0539,-0.0396,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1361,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,7,lat,Debiased_Whittle,0.1478,0.1307,-0.1307,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1361,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lon,Debiased_Whittle,0.1908,0.1682,-0.1682,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1361,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lat,Corridor_4x4_lag643,0.1438,0.1278,-0.1278,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1361,9.8653,0.2142,0.2655,1.1956,1.1792
