year,month,day_num,direction,lag,daily_mean,mean_pair_count,mean_model,normalized,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2022,7,1,lat,0.0440,3.3502,17779.0000,hour_dummy_plus_lat_lon_ols,False,2.4975,17874,4.4645,3.5703,17898,5.6591,4.2371,17846,6.6921,4.2303,17821,7.8008,3.7927,17820,7.5425,3.4909,17838,6.5155,2.8107,17708,6.1308,2.1717,17427.0000,5.1405
2022,7,1,lat,0.1320,4.5511,17437.6250,hour_dummy_plus_lat_lon_ols,False,3.1884,17552,4.4645,4.5437,17578,5.6591,5.6703,17517,6.6921,5.9593,17496,7.8008,5.4440,17491,7.5425,4.7050,17508,6.5155,3.9767,17352,6.1308,2.9210,17007.0000,5.1405
2022,7,1,lat,0.1760,4.7619,17273.6250,hour_dummy_plus_lat_lon_ols,False,3.3311,17390,4.4645,4.7805,17418,5.6591,5.7508,17354,6.6921,6.2068,17334,7.8008,5.6609,17327,7.5425,4.9417,17349,6.5155,4.2858,17189,6.1308,3.1373,16828.0000,5.1405
2022,7,1,lat,0.3960,5.3830,16473.1250,hour_dummy_plus_lat_lon_ols,False,3.6382,16588,4.4645,5.1008,16619,5.6591,6.0420,16555,6.6921,6.8784,16534,7.8008,6.3220,16521,7.5425,5.7432,16553,6.5155,5.3490,16398,6.1308,3.9907,16017.0000,5.1405
2022,7,1,lat,0.6160,5.6940,15680.3750,hour_dummy_plus_lat_lon_ols,False,3.8944,15790,4.4645,5.2908,15819,5.6591,6.1980,15769,6.6921,7.0762,15744,7.8008,6.6080,15729,7.5425,6.0553,15756,6.5155,5.7748,15611,6.1308,4.6547,15225.0000,5.1405
2022,7,1,lat,0.8360,5.8786,14890.6250,hour_dummy_plus_lat_lon_ols,False,4.0283,14990,4.4645,5.4695,15020,5.6591,6.2493,14980,6.6921,7.3920,14952,7.8008,6.8529,14948,7.5425,6.2810,14964,6.5155,5.9522,14821,6.1308,4.8034,14450.0000,5.1405
2022,7,1,lat,1.0560,5.9796,14096.6250,hour_dummy_plus_lat_lon_ols,False,4.1413,14191,4.4645,5.5165,14221,5.6591,6.2799,14181,6.6921,7.3259,14154,7.8008,7.0027,14151,7.5425,6.3987,14172,6.5155,6.1800,14031,6.1308,4.9918,13672.0000,5.1405
2022,7,1,lat,1.2760,5.9386,13304.0000,hour_dummy_plus_lat_lon_ols,False,4.2362,13396,4.4645,5.6210,13422,5.6591,6.3829,13381,6.6921,7.1357,13354,7.8008,6.9403,13359,7.5425,6.3500,13388,6.5155,5.9801,13240,6.1308,4.8626,12892.0000,5.1405
2022,7,1,lat,1.4960,5.9294,12517.5000,hour_dummy_plus_lat_lon_ols,False,4.3449,12606,4.4645,5.6717,12625,5.6591,6.5185,12583,6.6921,7.1930,12559,7.8008,6.7605,12569,7.5425,6.2680,12593,6.5155,5.8679,12459,6.1308,4.8107,12146.0000,5.1405
2022,7,1,lat,1.7160,5.9270,11734.1250,hour_dummy_plus_lat_lon_ols,False,4.2785,11817,4.4645,5.7254,11838,5.6591,6.3444,11792,6.6921,7.2162,11777,7.8008,6.9068,11782,7.5425,6.3487,11807,6.5155,5.8883,11672,6.1308,4.7080,11388.0000,5.1405
