year,month,day_num,direction,lag,model,fitted_gamma_tau1,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,1,lat,-2.1560,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-1.9360,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-1.7160,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-1.4960,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-1.2760,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-1.0560,Corridor_4x4_lag643,6.1918,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.8360,Corridor_4x4_lag643,6.1890,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.6160,Corridor_4x4_lag643,6.1718,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.3960,Corridor_4x4_lag643,6.0682,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.1760,Corridor_4x4_lag643,5.5059,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.1320,Corridor_4x4_lag643,5.2630,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-0.0440,Corridor_4x4_lag643,4.7159,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.0000,Corridor_4x4_lag643,4.5868,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.0440,Corridor_4x4_lag643,4.6797,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.1320,Corridor_4x4_lag643,5.2155,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.1760,Corridor_4x4_lag643,5.4672,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.3960,Corridor_4x4_lag643,6.0603,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.6160,Corridor_4x4_lag643,6.1705,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,0.8360,Corridor_4x4_lag643,6.1888,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,1.0560,Corridor_4x4_lag643,6.1918,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,1.2760,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,1.4960,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,1.7160,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,1.9360,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,2.1560,Corridor_4x4_lag643,6.1923,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072
2022,7,1,lat,-2.1560,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-1.9360,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-1.7160,Debiased_Whittle,6.0836,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-1.4960,Debiased_Whittle,6.0835,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-1.2760,Debiased_Whittle,6.0831,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-1.0560,Debiased_Whittle,6.0814,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.8360,Debiased_Whittle,6.0733,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.6160,Debiased_Whittle,6.0359,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.3960,Debiased_Whittle,5.8694,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.1760,Debiased_Whittle,5.2216,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.1320,Debiased_Whittle,4.9981,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,-0.0440,Debiased_Whittle,4.6143,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,0.0000,Debiased_Whittle,4.5909,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,0.0440,Debiased_Whittle,4.7181,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,0.1320,Debiased_Whittle,5.1588,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,0.1760,Debiased_Whittle,5.3635,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
2022,7,1,lat,0.3960,Debiased_Whittle,5.9100,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864
