day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,Vecc_may9,18033,0.03,100,21.786,0.411,0.52,0.02,-0.165,0.605,5.057,231472.5,28121.25404858590,801
2024-07-2,Vecc_may9,18033,0.03,100,22.336,0.248,0.375,-0.023,-0.265,0.658,3.587,321261.201,27262.126025676700,801
2024-07-3,Vecc_may9,18033,0.03,100,29.922,0.279,0.293,-0.049,-0.264,0.692,5.048,282063.166,27395.288321971900,801
2024-07-4,Vecc_may9,18033,0.03,100,27.476,0.546,0.787,-0.025,-0.091,0.349,6.17,209928.191,27056.514835834500,801
2024-07-5,Vecc_may9,18033,0.03,100,24.107,0.29,0.363,0.08,-0.222,0.602,4.65,294402.737,27000.759066343300,801
2024-07-6,Vecc_may9,18033,0.03,100,20.868,0.4,0.708,0.091,-0.174,0.501,6.476,244508.628,27003.507635593400,801
2024-07-7,Vecc_may9,18033,0.03,100,24.121,0.341,0.87,0.003,-0.278,0.439,7.039,223167.151,23720.028005361600,701
2024-07-8,Vecc_may9,18033,0.03,100,21.95,0.416,0.449,-0.137,-0.228,0.612,4.94,209814.939,27185.760350465800,801
2024-07-9,Vecc_may9,18033,0.03,100,14.992,0.506,0.622,0.027,-0.203,0.627,3.741,202517.136,30505.424106121100,901
2024-07-10,Vecc_may9,18033,0.03,100,13.679,0.728,1.23,0.063,-0.121,0.404,5.101,173639.763,37311.05637073520,601
2024-07-11,Vecc_may9,18033,0.03,100,20.695,0.829,1.078,-0.01,-0.029,0.334,3.962,151015.489,44700.31148028370,701
2024-07-12,Vecc_may9,18033,0.03,100,20.315,0.638,1.137,-0.086,-0.043,0.328,3.694,180516.04,57783.40663743020,901
2024-07-13,Vecc_may9,18033,0.03,100,24.893,0.707,1.124,-0.071,0.012,0.337,3.612,185249.036,63694.23518157010,1001
2024-07-14,Vecc_may9,18033,0.03,100,23.703,1.016,1.597,-0.107,-0.166,0.338,3.644,159040.914,45333.90929722790,701
2024-07-15,Vecc_may9,18033,0.03,100,27.825,1.02,1.826,-0.126,0.01,0.365,3.836,225585.349,63465.00202488900,1001
2024-07-16,Vecc_may9,18033,0.03,100,38.836,0.689,1.124,-0.109,-0.024,0.411,4.369,190928.61,56779.17601490020,901
2024-07-17,Vecc_may9,18033,0.03,100,35.483,0.603,0.926,-0.115,-0.144,0.382,5.07,182829.906,43528.13007092480,701
2024-07-18,Vecc_may9,18033,0.03,100,29.501,0.753,1.411,0.003,-0.223,0.346,5.28,191722.698,58729.757885694500,901
2024-07-19,Vecc_may9,18033,0.03,100,26.71,0.622,0.759,-0.094,-0.208,0.511,4.331,195694.508,53000.2005739212,801
2024-07-20,Vecc_may9,18033,0.03,100,21.7,0.672,1.291,-0.03,-0.415,0.452,5.476,221864.568,13669.536257505400,901
2024-07-21,Vecc_may9,18033,0.03,100,18.377,0.835,1.414,0.006,-0.274,0.35,4.99,178226.143,37572.649713516200,601
2024-07-22,Vecc_may9,18033,0.03,100,23.473,0.938,1.391,-0.068,0.019,0.708,4.749,203393.496,58183.151601314500,901
