year,month,day_num,tau,model,ridge_lat_lag,ridge_lon_lag,ridge_norm,large_empirical_ridge,model_lat_lag,model_lon_lag,model_norm,model_norm_ge_1,err_lat,err_lon,err_euclid,ridge_gamma_min,ridge_gamma_gap,ridge_gamma_rel_gap,ridge_near_min_count,ridge_is_ambiguous,ridge_n_pairs,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,norm_bias,abs_norm_bias,overestimated_norm
2022,7,1,1,Corridor_4x4_lag643,0.0000,-0.0630,0.0630,False,0.0038,-0.0223,0.0226,False,-0.0038,-0.0407,0.0409,5.0179,0.0128,0.0026,8,True,124498,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072,-0.0404,0.0404,False
2022,7,1,1,Debiased_Whittle,0.0000,-0.0630,0.0630,False,-0.0156,0.0799,0.0814,False,0.0156,-0.1429,0.1437,5.0179,0.0128,0.0026,8,True,124498,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864,0.0184,0.0184,True
2022,7,1,1,Vecchia_mm20,0.0000,-0.0630,0.0630,False,-0.0009,-0.0269,0.0269,False,0.0009,-0.0361,0.0361,5.0179,0.0128,0.0026,8,True,124498,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723,-0.0361,0.0361,False
2022,7,1,2,Corridor_4x4_lag643,-0.0440,-0.5670,0.5687,False,0.0077,-0.0445,0.0452,False,-0.0517,-0.5225,0.5250,5.7362,0.0032,0.0006,29,True,100337,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072,-0.5235,0.5235,False
2022,7,1,2,Debiased_Whittle,-0.0440,-0.5670,0.5687,False,-0.0312,0.1598,0.1628,False,-0.0128,-0.7268,0.7269,5.7362,0.0032,0.0006,29,True,100337,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864,-0.4059,0.4059,False
2022,7,1,2,Vecchia_mm20,-0.0440,-0.5670,0.5687,False,-0.0018,-0.0538,0.0538,False,-0.0422,-0.5132,0.5149,5.7362,0.0032,0.0006,29,True,100337,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723,-0.5149,0.5149,False
2022,7,1,3,Corridor_4x4_lag643,-0.0440,-0.9450,0.9460,False,0.0115,-0.0668,0.0677,False,-0.0555,-0.8782,0.8800,6.0579,0.0016,0.0003,50,True,80152,3.9851,0.1194,0.1515,1.1154,0.0038,-0.0223,2.2072,-0.8783,0.8783,False
2022,7,1,3,Debiased_Whittle,-0.0440,-0.9450,0.9460,False,-0.0468,0.2397,0.2442,False,0.0028,-1.1847,1.1847,6.0579,0.0016,0.0003,50,True,80152,3.5972,0.1418,0.2201,1.2601,-0.0156,0.0799,2.4864,-0.7018,0.7018,False
2022,7,1,3,Vecchia_mm20,-0.0440,-0.9450,0.9460,False,-0.0027,-0.0807,0.0807,False,-0.0413,-0.8643,0.8653,6.0579,0.0016,0.0003,50,True,80152,3.4937,0.1703,0.2118,1.6525,-0.0009,-0.0269,2.6723,-0.8653,0.8653,False
2022,7,2,1,Corridor_4x4_lag643,0.0000,-0.3150,0.3150,False,0.0075,-0.2795,0.2796,False,-0.0075,-0.0355,0.0363,6.3471,0.0311,0.0049,6,True,118210,7.0359,0.1715,0.1787,1.0242,0.0075,-0.2795,1.8939,-0.0354,0.0354,False
